i;value
172;19.333333333333332
173;19.333333333333332
174;19.333333333333332
175;19.333333333333332
176;0
177;19.333333333333332
178;19.333333333333332
179;19.333333333333332
180;19.333333333333332
181;19.333333333333332
182;19.333333333333332
183;19.333333333333332
184;19.333333333333332
185;19.333333333333332
186;19.333333333333332
187;19.333333333333332
188;19.333333333333332
189;0
190;0
191;0
192;19.333333333333332
193;19.333333333333332
194;19.333333333333332
195;19.333333333333332
196;19.333333333333332
197;19.333333333333332
198;0
199;19.333333333333332
200;19.333333333333332
201;0
202;0
203;19.333333333333332
204;19.333333333333332
205;19.333333333333332
206;19.333333333333332
207;19.333333333333332
208;19.333333333333332
209;0
210;19.333333333333332
211;19.333333333333332
212;19.333333333333332
213;19.333333333333332
214;19.333333333333332
215;19.333333333333332
216;0
217;19.333333333333332
218;0
219;0
220;0
221;0
222;19.333333333333332
223;19.333333333333332
224;19.333333333333332
225;19.333333333333332
226;0
227;19.333333333333332
228;0
229;19.333333333333332
230;0
231;0
232;19.333333333333332
233;19.333333333333332
234;0
235;0
236;19.333333333333332
237;19.333333333333332
238;19.333333333333332
239;0
240;19.333333333333332
241;0
242;19.333333333333332
243;19.333333333333332
244;19.333333333333332
245;19.333333333333332
246;19.333333333333332
247;19.333333333333332
248;19.333333333333332
249;19.333333333333332
250;19.333333333333332
251;19.333333333333332
252;19.333333333333332
253;19.333333333333332
254;19.333333333333332
255;19.333333333333332
256;19.333333333333332
257;19.333333333333332
258;19.333333333333332
259;19.333333333333332
260;19.333333333333332
261;19.333333333333332
262;0
263;19.333333333333332
264;19.333333333333332
265;19.333333333333332
266;19.333333333333332
267;19.333333333333332
268;19.333333333333332
269;19.333333333333332
270;19.333333333333332
271;19.333333333333332
272;19.333333333333332
273;19.333333333333332
274;19.333333333333332
275;19.333333333333332
276;19.333333333333332
277;0
278;19.333333333333332
279;19.333333333333332
280;19.333333333333332
281;19.333333333333332
282;19.333333333333332
283;19.333333333333332
284;19.333333333333332
285;19.333333333333332
286;19.333333333333332
287;19.333333333333332
288;19.333333333333332
289;19.333333333333332
290;19.333333333333332
291;19.333333333333332
292;19.333333333333332
293;19.333333333333332
294;19.333333333333332
295;19.333333333333332
296;19.333333333333332
297;19.333333333333332
298;19.333333333333332
299;19.333333333333332
300;19.333333333333332
301;19.333333333333332
302;19.333333333333332
303;19.333333333333332
304;0
305;19.333333333333332
306;19.333333333333332
307;19.333333333333332
308;19.333333333333332
309;0
310;19.333333333333332
311;19.333333333333332
312;19.333333333333332
313;19.333333333333332
314;19.333333333333332
315;19.333333333333332
316;19.333333333333332
317;19.333333333333332
318;19.333333333333332
319;19.333333333333332
320;19.333333333333332
321;0
322;19.333333333333332
323;19.333333333333332
324;19.333333333333332
325;0
326;19.333333333333332
327;19.333333333333332
328;19.333333333333332
329;0
330;0
331;0
332;19.333333333333332
333;19.333333333333332
334;19.333333333333332
335;19.333333333333332
336;19.333333333333332
337;19.333333333333332
338;19.333333333333332
339;19.333333333333332
340;19.333333333333332
341;0
342;19.333333333333332
343;19.333333333333332
344;19.333333333333332
345;19.333333333333332
346;19.333333333333332
347;19.333333333333332
348;19.333333333333332
349;0
350;19.333333333333332
351;19.333333333333332
352;19.333333333333332
353;19.333333333333332
354;19.333333333333332
355;19.333333333333332
356;19.333333333333332
357;19.333333333333332
358;19.333333333333332
359;19.333333333333332
360;0
361;19.333333333333332
362;19.333333333333332
363;19.333333333333332
364;19.333333333333332
365;19.333333333333332
366;19.333333333333332
367;19.333333333333332
368;0
369;19.333333333333332
370;0
371;19.333333333333332
372;19.333333333333332
373;19.333333333333332
374;19.333333333333332
375;0
376;0
377;19.333333333333332
378;0
379;0
380;0
381;0
382;19.333333333333332
383;19.333333333333332
384;19.333333333333332
385;19.333333333333332
386;0
387;19.333333333333332
388;19.333333333333332
389;19.333333333333332
390;19.333333333333332
391;19.333333333333332
392;19.333333333333332
393;19.333333333333332
394;0
395;0
396;19.333333333333332
397;19.333333333333332
398;19.333333333333332
399;19.333333333333332
400;19.333333333333332
401;19.333333333333332
402;0
403;19.333333333333332
404;0
405;19.333333333333332
406;19.333333333333332
407;19.333333333333332
408;19.333333333333332
409;0
410;19.333333333333332
411;19.333333333333332
412;19.333333333333332
413;0
414;19.333333333333332
415;0
416;19.333333333333332
417;19.333333333333332
418;19.333333333333332
419;0
420;19.333333333333332
421;19.333333333333332
422;19.333333333333332
423;19.333333333333332
424;19.333333333333332
425;19.333333333333332
426;19.333333333333332
427;19.333333333333332
428;19.333333333333332
429;19.333333333333332
430;19.333333333333332
431;19.333333333333332
432;19.333333333333332
433;19.333333333333332
434;0
435;19.333333333333332
436;19.333333333333332
437;19.333333333333332
438;19.333333333333332
439;19.333333333333332
440;19.333333333333332
441;19.333333333333332
442;0
443;19.333333333333332
444;19.333333333333332
445;19.333333333333332
